Designator,Footprint,Quantity,Value,LCSC Part #
"36VIN_0, 6VIN_0","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,Screw_Terminal_01x02,
"36V_TP0, 3V3_TP0, 5V_TP0, 6V_TP0, GND36V_TP0, GND6V_TP0, GND_TP0",TestPoint_THTPad_D1.5mm_Drill0.7mm,7,TestPoint_Probe,
3V3OUT_0,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
"C0, C1",CP_Elec_8x10,2,100uF,
"C2, C3",1206,2,10uF,
"EN0, RESET0",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
I2C0,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05,
"LS0, LS1, LS2",SOT-23-6,3,SN74LVC1T45DBV,
MCU0,RPi_Pico_SMD_TH,1,Pico,
MISC0,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
"Q1, Q2",TO-252-2,2,FQD50N06,
"R0, R2",1206,2,100kR,
R1,1206,1,6.2kR,
R3,1206,1,51kR,
REG0,SOT-89-3,1,ME6210A50PG,
SERVO0,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,Conn_01x03,
SPI1,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,Conn_01x07,
"STEPPER0, UART0",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04,
STEPPER_DRV0,Pololu_Breakout-16_15.2x20.3mm,1,Pololu_Breakout_DRV8825,
