Designator,Mid X,Mid Y,Rotation,Layer
36VIN_0,45.0468,-93.41,0.0,top
3V3OUT_0,16.0468,-11.49,0.0,top
6VIN_0,70.0468,-93.31,0.0,top
C0,30.0468,-70.065,270.0,top
C1,55.0468,-70.065,270.0,top
C2,46.0093,-71.815,180.0,top
C3,46.0468,-63.215,0.0,top
EN0,8.4068,-15.55,270.0,top
I2C0,38.4068,-11.8,270.0,top
LS0,55.0693,-12.75,0.0,top
LS1,55.0693,-17.45,0.0,top
LS2,52.3818,-52.9375,90.0,top
MCU0,30.2868,-35.41,90.0,top
MISC0,19.8518,-11.49,180.0,top
Q1,44.9268,-78.315,90.0,top
Q2,70.0468,-78.315,90.0,top
R0,38.0468,-82.705,90.0,top
R1,38.0468,-76.105,90.0,top
R2,63.0468,-82.305,90.0,top
R3,63.0468,-76.105,90.0,top
REG0,46.0468,-67.765,90.0,top
RESET0,26.475,-11.25,270.0,top
SERVO0,67.5468,-67.79,180.0,top
SPI1,39.0318,-54.825,0.0,top
STEPPER0,14.7918,-71.275,180.0,top
STEPPER_DRV0,14.7918,-58.16,90.0,top
UART0,45.9068,-13.05,270.0,top
