Designator,Footprint,Quantity,Value,LCSC Part #
BUCK1,QFN-20_L5.0-W5.0-P0.80-TL_HP8105QA,1,MST8A50QA-15A1Y,C22395101
BUCK2,TSOT-23-6,1,AP63205WU,
"C1, C2, C3",C_Radial_D18.0mm_H35.5mm_P7.50mm,3,820uF 100V (C443165),
"C10, C11, C17, C18, C19, C20, C21, C24, C25, C26, C28, C33, C34, C35, C39, C40, C42, C43, C44, C45, C52, C57, C58, C59, C6, C60, C61, C62, C63, C64, C70, C8, C9",0402,33,100nF 50V,
"C12, C13, C51",0805,3,22uF 25V,
"C14, C15, C27",0402,3,1uF 16V,
"C16, C66, C67, C68, C69, C7, C71",0603,7,10uF 25V,
"C22, C23, C29, C30, C36, C37, C47, C48, C5, C65",1812,10,1uF 200V,
C38,CP_Elec_10x10.5,1,47uF 100V,
C41,0402,1,4.7nF 50V,
C46,0603,1,10uF 35V,
C49,0402,1,47pF 50V,
C50,CP_Elec_10x10.5,1,470uF 35V,
"C53, C54, C55, C56",0402,4,10pF,
"D1, D2, D3",D_SOD-123F,3,C7420332,
D4,D_SMA,1,SMAJ85CA,
D5,D_SMA,1,SS310FL,
"DIFF_DRV1, DIFF_DRV2, DIFF_DRV3, DIFF_DRV4, DIFF_RECV1, DIFF_RECV2, DIFF_RECV3, DIFF_RECV4, DIFF_RECV5, DIFF_RECV6, DIFF_RECV7",SOIC-8_3.9x4.9mm_P1.27mm,11,BSP48520AS,
DIP1,SW-SMD_8P-L6.7-W5.4-P1.27-LS8.4,1,DSHP04TSGER_C3293144,C3293144
F1,FUSE-SMD_L10.3-W3.2,1,JFC1032-2600FS,C48783187
FB1,0402,1,C76884,
FDCAN_TSCV1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TCAN1057AVDRQ1,C3235000
GDRV1,FD6288Q_QFN50P400X400X90-25N,1,FD6288Q,
"GDRV2, GDRV3, GDRV4, GDRV5",SOT-23-6,4,MX27517,
J1,CONN-TH_HB9500M-9.5-2P,1,HB9500M-9.5-2P,C601239
"J10, J9",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,S4B-XH-A,
J11,JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal,1,S10B-XH-A,
J12,JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,1,S8B-XH-A,
"J13, J15, J8",JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal,3,S5B-XH-A,
"J14, J16, J7",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,3,S2B-XH-A,
"J17, J18, J19, J20, J21, J22, J3, J4, J5, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,10,B2B-XH-A,
J2,CONN-TH_3P-P9.50_HB9500-9.5-3P,1,HB9500-3,C162697
L1,IND-SMD_L13.5-W12.6,1,C41384052,
L2,IND-SMD_L4.5-W4.1_IHLP,1,SL0420-4R7M,C22463808
LDO1,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AZ1117EH-3.3TRG1,C108494
"LED1, LED2",0603,2,C965799,
MCU1,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBT6,
"OPAMP1, OPAMP2, OPAMP3",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,3,GS8557-TR,C2978612
"Q1, Q2, Q3, Q4, Q5, Q6",DFN-8_L5.5-W5.2-P1.27-LS6.1-BL,6,BSC093N15NS5,C19626231
"Q10, Q11, Q8, Q9",SOT-23,4,40N05,
Q7,TOLL-8_L10.4-W9.9-P1.20-LS11.7-BL,1,SP015N03BGHTO,C22385354
"R1, R49, R52",0805,3,43K,
"R10, R11, R24, R25, R33, R34",0402,6,60.4K 0.1%,
"R12, R15, R17, R20, R26, R29, R50, R55, R56, R57, R58, R59, R68, R69, R70, R71, R72, R73, R74",0402,19,10K,
"R13, R16, R18, R21, R27, R30, R38, R39, R40, R41",0402,10,10,
"R14, R19, R28",2512,3,1m 3W,
"R2, R37, R61, R62, R63, R64, R65, R66, R67, R75, R76",0402,11,100,
"R22, R23, R31, R32, R8, R9",0402,6,1K 0.1%,
"R3, R7",0402,2,1K,
"R35, R36",0402,2,60.4,
"R42, R43, R44, R45, R46, R47, R48",0402,7,10K 1%,
R51,1206,1,25m 1W,
R53,0402,1,3K,
"R54, R60",0402,2,300,
R6,0402,1,4.7K,
RPOL1,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,MX74700T_C22468156,C22468156
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
SW2,SW-TH_SHOU_MSK22D18G2,1,MSK22D18G2 125,C2906279
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",PinHeader_1x01_P2.54mm_Vertical,8,PinHeader 1x1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,C19674287,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,C48615,
