Designator,Mid X,Mid Y,Rotation,Layer
BUCK1,-41.6,9.6,0.0,top
BUCK2,-45.8,-9.8,0.0,top
C1,-27.25,-40.0,0.0,top
C10,7.4,2.2,90.0,top
C11,5.75,-2.4,0.0,top
C12,-42.0,-12.2,270.0,top
C13,-40.0,-12.2,270.0,top
C14,-42.0,-15.4,0.0,top
C15,-47.2,-22.4,0.0,top
C16,40.0,47.75,180.0,top
C17,-15.8,30.2,270.0,top
C18,10.1,17.249998,180.0,top
C19,-18.2,-6.3,270.0,top
C2,-29.25,-20.0,0.0,top
C20,10.75,28.099999,270.0,top
C21,-0.100002,28.75,0.0,top
C22,-14.0,-29.0,0.0,top
C23,-13.999999,-3.199997,0.0,top
C24,-0.75,17.899998,90.0,top
C25,12.250001,24.749997,90.0,top
C26,-6.2,-6.3,270.0,top
C27,13.250001,24.749997,90.0,top
C28,0.25,15.899997,90.0,top
C29,-2.0,-29.0,0.0,top
C3,-12.2,8.2,0.0,top
C30,-1.999999,-3.199998,0.0,top
C33,5.8,-6.3,270.0,top
C34,7.25,8.749997,270.0,top
C35,34.95,4.0,180.0,top
C36,10.0,-29.0,0.0,top
C37,-29.8,28.0,270.0,top
C38,-30.6,17.8,90.0,top
C39,-6.8,29.0,90.0,top
C40,34.95,11.0,180.0,top
C41,21.75,42.25,270.0,top
C42,13.8,39.0,270.0,top
C43,14.0,34.4,270.0,top
C44,17.8,29.2,270.0,top
C45,27.6,27.6,270.0,top
C46,-37.4,11.6,270.0,top
C47,-41.2,15.4,0.0,top
C48,-46.8,6.0,270.0,top
C49,-46.35,10.0,270.0,top
C5,-46.6,37.6,270.0,top
C50,-42.4,-2.6,0.0,top
C51,-35.8,0.6,90.0,top
C52,34.95,-31.0,180.0,top
C53,-0.75,12.749998,0.0,top
C54,2.75,10.749997,270.0,top
C55,4.149999,13.749999,180.0,top
C56,1.250001,12.749997,180.0,top
C57,34.95,-3.0,180.0,top
C58,34.95,18.0,180.0,top
C59,34.95,-24.0,180.0,top
C6,-42.6,5.8,0.0,top
C60,34.95,-17.0,180.0,top
C61,34.95,-10.0,180.0,top
C62,-24.25,26.25,90.0,top
C63,-24.25,20.75,90.0,top
C64,24.2,-31.0,180.0,top
C65,10.000001,-3.199998,0.0,top
C66,40.0,46.25,180.0,top
C67,40.0,44.75,180.0,top
C68,40.0,43.25,180.0,top
C69,40.0,41.75,180.0,top
C7,-41.6,-9.0,0.0,top
C70,0.8,0.0,90.0,top
C71,37.75,47.0,270.0,top
C8,-48.4,-10.275,270.0,top
C9,5.2,4.0,180.0,top
D1,10.2,4.8,0.0,top
D2,10.2,2.4,0.0,top
D3,9.6,0.0,0.0,top
D4,-33.6,28.0,90.0,top
D5,-36.6,6.6,270.0,top
DIFF_DRV1,31.75,-6.0,270.0,top
DIFF_DRV2,31.75,1.0,270.0,top
DIFF_DRV3,31.75,8.0,270.0,top
