Designator,Mid X,Mid Y,Rotation,Layer
C1,7.2,-15.8,180.0,top
C2,10.75,-9.725,90.0,top
C4,0.0,2.6,0.0,top
C5,10.2,19.25,180.0,top
C6,10.2,5.75,180.0,top
C7,10.2,12.5,180.0,top
C8,10.75,-2.775,90.0,top
DIFF_DRV1,7.0,16.25,270.0,top
DIFF_RECV1,7.0,2.75,270.0,top
DIFF_RECV2,7.0,9.5,270.0,top
ENC1,0.0,0.0,90.0,top
J1,15.5,4.25,90.0,top
J2,15.5,-11.75,90.0,top
J3,-15.5,0.0,270.0,top
R1,10.75,-13.509999,270.0,top
R2,2.8,8.7,90.0,top
R3,11.2,9.5,90.0,top
R4,2.8,1.95,90.0,top
R5,11.2,2.75,90.0,top
R6,11.2,16.25,90.0,top
U1,7.2,-13.509999,0.0,top
